task_id,repository,difficulty,workspace_root,source_target,source_extension,instruction_preview,eligible
task-696719205599a51110d4b446,grafana/k6,hard,/workspace,cmd/run.go,.go,"Refactor the metrics engine to decouple it from TestRunState. NewMetricsEngine should take its actual dependencies (registry, logger) instead of the whole TestRunState. Pull the sub-metrics/threshold initialization out of the constructor in",True
task-696719205599a51110d4b447,grafana/k6,hard,/workspace,output/cloud/output.go,.go,"The cloud output in output/cloud/ is getting hard to maintain. We're going to need to support a new metrics protocol version alongside the current one, but the way it's structured now makes that awkward like the protocol-specific stuff (dat",True
task-696719205599a51110d4b449,grafana/k6,easy,/workspace,js/bundle.go,.go,The ModuleResolver requires calling SetMain to store internal state before RunMain can execute. This two-step requirement makes the module system inflexible. Refactor to remove this coupling so the module system can run source data directly,True
task-696719205599a51110d4b44b,grafana/k6,hard,/workspace,.golangci.yml,.yml,"The Logger fields in lib/test_state.go and lib/vu_state.go use the concrete \*logrus.Logger type, even though there are TODO comments in both files acknowledging they should use the logrus.FieldLogger interface instead. This concrete type c",True
task-696719205599a51110d4b451,grafana/k6,hard,/workspace,api/common/context.go,.go,"The `core.Engine` in k6 currently has too many responsibilities and is tightly coupled to the REST API layer. The `GetServer` function in `api/server.go` takes a `*core.Engine` directly, and the handlers for status, metrics, groups, and set",True
task-696719205599a51110d4b455,grafana/grafana,medium,/grafana,pkg/storage/unified/sql/backend.go,.go,The resource version manager in pkg/storage/unified/sql is currently a package-private type with unexported methods. This prevents other packages like unified/resource/sqlkv from reusing it without creating import cycles.,True
task-696719205599a51110d4b458,grafana/grafana,hard,/grafana,apps/plugins/kinds/manifest.cue,.cue,"The `PluginMeta` kind in `apps/plugins/` has a redundant naming problem. Since it already lives inside the plugins package, the ""Plugin"" prefix creates stuttering like `plugins.PluginMeta`. The plural form `pluginsmeta` is also awkward and ",True
task-696719205599a51110d4b459,grafana/grafana,hard,/grafana,apps/investigations/kinds/investigation.cue,.cue,The investigations app under `apps/investigations/` still uses the deprecated old manifest kinds format for its CUE definitions and code generation.,True
task-696719205599a51110d4b45b,grafana/grafana,hard,/grafana,pkg/tsdb/elasticsearch/client/client.go,.go,The Elasticsearch client package at `pkg/tsdb/elasticsearch/client/` has grown difficult to maintain because two of its files have taken on too many responsibilities.,True
task-696719205599a51110d4b45f,grafana/grafana,hard,/grafana,public/app/features/alerting/unified/api/prometheusApi.ts,.ts,The rule-list filtering in `public/app/features/alerting/unified/rule-list/hooks/filters.ts` uses `groupFilter` and `ruleFilter` functions with a `backendFiltered` boolean to toggle behavior. This is getting messy because Grafana-managed ru,True
task-696719205599a51110d4b462,grafana/grafana,medium,/grafana,pkg/registry/apis/iam/models.go,.go,I need to simplifiy the setup code of the IAM app specially when running standalone. For this I want to implemente the following changes:,True
task-696719205599a51110d4b471,secdev/scapy,medium,/app,scapy/contrib/openflow.py,.py,The OpenFlow protocol modules in `scapy/contrib/openflow.py` and `scapy/contrib/openflow3.py` have a lot of repetitive TCP port configuration. Almost every OpenFlow packet class individually declares an `overload_fields` dictionary to set e,True
task-696719205599a51110d4b473,secdev/scapy,hard,/app,.travis.yml,.yml,I need to improve the API documentation.,True
task-696719205599a51110d4b476,secdev/scapy,medium,/app,scapy/contrib/opc_da.py,.py,The OPC-DA contrib module (scapy/contrib/opc_da.py) has several bugs and needs to be updated to align with DCE 1.1 RPC and MS-NLMP specifications.,True
task-697e7458be1623d850a8882d,trufflesecurity/trufflehog,medium,/workspace,pkg/sources/git/git.go,.go,I need to improve the debuggability and code quality in pkg/sources/git/git.go.,True
task-697e7458be1623d850a8882e,trufflesecurity/trufflehog,medium,/repo,pkg/sources/s3/s3.go,.go,"The S3 source in `pkg/sources/s3/s3.go` has two separate client creation functions, `newClient` and `newRoleClient`, that share most of their implementation. Both set up AWS configuration, create a session, and return an S3 client, but they",True
task-697e7458be1623d850a88830,trufflesecurity/trufflehog,medium,/app,pkg/custom_detectors/custom_detectors.go,.go,"The `FromData` method in `pkg/custom_detectors/custom_detectors.go` processes regex matches sequentially when verifying them against webhook endpoints. Each match's webhook verification call has to finish before the next one starts, which i",True
task-697e7458be1623d850a88832,grafana/k6,medium,/workspace,internal/cmd/runtime_options.go,.go,"Right now getRuntimeOptions in runtime_options.go is doing all the flags, env vars, validation and overrides, which makes it highly integrated and hard to test. Refactor into reusable and single purpose helpers.",True
task-697e7458be1623d850a88838,secdev/scapy,medium,/app,scapy/contrib/automotive/obd/scanner.py,.py,"The OBD scanner infrastructure in Scapy's automotive module has several robustness and maintainability issues across the scanner, the base enumerator, and the CLI tool.",True
task-697e7458be1623d850a8883b,secdev/scapy,medium,/app,scapy/contrib/automotive/ecu.py,.py,The EcuState class in scapy/contrib/automotive/ecu.py is too rigid for supporting different automotive protocols.,True
task-697e7458be1623d850a88841,trufflesecurity/trufflehog,medium,/app,pkg/tui/common/utils.go,.go,Refactor the TUI text input system to support default values for required fields.,True
task-697e7458be1623d850a88844,trufflesecurity/trufflehog,hard,/workspace,pkg/detectors/abbysale/abbysale.go,.go,"The secret detectors under `pkg/detectors/` for abbysale, abstract, abuseipdb, accuweather, adafruitio, adzuna, aeroworkflow, agora, aha, alibaba, and artifactory all share several problems with how they handle HTTP verification of discover",True
task-697e7458be1623d850a8885b,grafana/grafana,medium,/grafana,pkg/services/ngalert/state/cache.go,.go,"Currently, the alerting state warmup in pkg/services/ngalert/state/manager.go manually builds the nested cache maps and then swaps them in while pkg/services/ngalert/state/cache.go already has its own initialization logic. This duplicates t",True
task-697e7458be1623d850a8885d,grafana/grafana,medium,/grafana,packages/grafana-data/src/types/featureToggles.gen.ts,.ts,"The vizAndWidgetSplit feature flag in Grafana was an experimental feature that attempted to split panel plugins into two separate categories: ""visualizations"" and ""widgets."" This feature has been abandoned and all code related to it needs t",True
task-697e7458be1623d850a88862,grafana/grafana,hard,/grafana,public/app/features/alerting/routes.tsx,.tsx,"The silences feature in public/app/features/alerting/unified/Silences.tsx handles three routes internally with a <Switch> component: listing silences (/alerting/silences), creating new ones (/alerting/silence/new), and editing existing ones",True
task-69b7c2a04b6f8ff9ed98812c,MariaDB/server,hard,/app/source,extra/innochecksum.cc,.cc,"The `innochecksum` utility (`extra/innochecksum.cc`) has a bug in its doublewrite buffer detection: `is_page_doublewritebuffer()` uses a hardcoded page range heuristic to guess where the doublewrite buffer lives, but InnoDB stores the actua",True
task-69b7c2a04b6f8ff9ed98812d,MariaDB/server,hard,/app/source,extra/innochecksum.cc,.cc,The `innochecksum` tool in `extra/innochecksum.cc` has two problems that need fixing.,True
task-69b7c2a04b6f8ff9ed98812e,MariaDB/server,hard,/app/source,storage/innobase/fsp/fsp0fsp.cc,.cc,"Add defragmentation support for the InnoDB system tablespace. Currently, when there are free extents at the beginning of the tablespace and used extents at the end, the tablespace cannot be shrunk effectively because data is spread out.",True
task-69b7c2a04b6f8ff9ed98812f,OISF/suricata,hard,/app,rust/cbindgen.toml,.toml,# Task Description,True
task-69b7c2a04b6f8ff9ed988131,OISF/suricata,hard,/app/suricata,src/Makefile.am,.am,"The `fileext` detection keyword in `src/detect-fileext.c` maintains an entirely self-contained implementation with its own custom data structure, matching function, parser, and memory management. This is a lot of specialized code for what i",True
task-69b7c2a04b6f8ff9ed988134,OISF/suricata,medium,/app/suricata,src/output-tx.c,.c,"The transaction logging system in `src/output-tx.c` currently maintains a single global linked list of all registered tx loggers and a corresponding single chain of per-thread logger data. When `OutputTxLog` processes a transaction, it walk",True
task-69b7c2a04b6f8ff9ed988137,OISF/suricata,hard,/app/suricata,src/decode-ethernet.c,.c,Refactor the packet decoding layer in Suricata to properly handle and propagate decoding errors.,True
task-69b7c2a04b6f8ff9ed98813a,netdata/netdata,hard,/opt/netdata.git,src/daemon/pulse/pulse-ingestion.c,.c,"Several performance-critical functions in the netdata metrics ingestion pipeline use the C `inline` keyword as a hint to the compiler, but the compiler is free to ignore it. The codebase already provides macros that force the compiler to ac",True
task-69b7c2a04b6f8ff9ed98813b,netdata/netdata,hard,/opt/netdata.git,src/collectors/statsd.plugin/statsd.c,.c,"The RRD database layer in `src/database/` has grown into a set of large monolithic files that are hard to navigate. This is a continuation of an earlier cleanup effort that already extracted things like `rrdset-collection`, `rrdset-index-id",True
task-69b7c2a04b6f8ff9ed98813d,netdata/netdata,hard,/opt/netdata.git,src/aclk/aclk.c,.c,# Problem Statement,True
task-69d196f015a150488265afb4,simple-login/app,medium,/code,app/dashboard/views/mailbox.py,.py,"I need to refactor how we handle setting the default mailbox. The `set_default_mailbox` function doesn't really belong in mailbox utils, it's more of a user setting, so please move it over. It should use its own exception class (like `Canno",True
task-69d196f015a150488265afb5,Automattic/wp-calypso,medium,/workspace,client/dashboard/app/router/sites.tsx,.tsx,"`fetchSitePlans` in `packages/api-core/src/site-plans/` and `fetchPricedSitePlans` in `packages/api-core/src/plans/` both call the same endpoint (`/sites/{siteId}/plans`, apiVersion `1.3`). They have separate types, separate normalizers, an",True
task-69d196f015a150488265afb6,secdev/scapy,medium,/app,scapy/base_classes.py,.py,Please help me with some minor cleanups across a few files.,True
task-69d196f015a150488265afb7,secdev/scapy,hard,/app,scapy/contrib/gtp.py,.py,The GTP (GPRS Tunnelling Protocol) modules in Scapy need updates for 3GPP Release 16 compliance and general cleanup of how Information Element (IE) lengths are computed in GTPv2.,True
task-69d196f015a150488265afb8,secdev/scapy,medium,/app,scapy/layers/dot11.py,.py,The `Dot11Elt` base class in `scapy/layers/dot11.py` currently has vendor-specific element dispatch logic hardcoded directly in its `dispatch_hook()` method. It manually checks the OUI bytes to decide whether a vendor element (ID 221) shoul,True
task-69d196f015a150488265afb9,grafana/grafana,medium,/grafana,public/app/features/apiserver/client.ts,.ts,"We're cleaning up how the provisioning feature interacts with the backend on the frontend. Right now it's inconsistent: the repository status page still spins up a ScopedResourceClient and useAsync to load jobs for a repo, while we're stand",True
task-69d196f015a150488265afba,grafana/grafana,hard,/grafana,packages/grafana-o11y-ds-frontend/src/createNodeGraphFrames.ts,.ts,"The `createGraphFrames` function in `public/app/plugins/datasource/tempo/graphTransform.ts` converts trace span data into node graph frames. It includes supporting logic for trace to graph conversion, trace duration calculation, span mappin",True
task-69d196f015a150488265afbb,grafana/grafana,medium,/grafana,public/app/features/dashboard-scene/saving/SaveDashboardDrawer.tsx,.tsx,The `SaveProvisionedDashboard` component in `public/app/features/dashboard-scene/saving/SaveProvisionedDashboard.tsx` manages form state with individual `useState` hooks and saves via a raw `getBackendSrv().put()` call with `console.log`/`a,True
task-69d196f015a150488265afbc,grafana/grafana,medium,/grafana,pkg/registry/apis/provisioning/utils.go,.go,Refactor the save dashboard drawer to properly handle provisioned dashboards from external repositories.,True
task-69d196f015a150488265afbd,Automattic/wp-calypso,medium,/calypso,client/my-sites/plans-features-main/hooks/use-generate-action-callback.ts,.ts,"The plugin details CTA section currently hardcodes references to specific plan tiers when displaying pricing and upgrade options for free plugins. For example, the free price label always shows ""on Business plan"" and the plan USPs section s",True
task-69d196f015a150488265afbe,Automattic/wp-calypso,medium,/home/circleci/wp-calypso,client/landing/stepper/declarative-flow/internals/components/index.tsx,.tsx,The site migration application password authorization step has a few code quality issues that need refactoring.,True
task-69d196f015a150488265afc0,MariaDB/server,hard,/app/source,extra/mariabackup/xtrabackup.cc,.cc,The redo log LSN allocation in InnoDB is a bottleneck in write-heavy workloads. The core data structures live in storage/innobase/include/log0log.h (the log_t struct) with the main implementation in storage/innobase/log/log0log.cc and the m,True
task-69d196f015a150488265afc1,MariaDB/server,hard,/app/source,storage/innobase/dict/dict0defrag_bg.cc,.cc,"`dict_table_close()` in `storage/innobase/` is breaking `innodb_stats_auto_recalc`. Every time the last handle to a table is released, it acquires an exclusive `dict_sys.latch` and deinitializes the persistent statistics, resetting `stat_mo",True
task-69d196f015a150488265afc2,renovatebot/renovate,medium,/app,lib/workers/repository/extract/supersedes.ts,.ts,The `processSupersedesManagers` function in `lib/workers/repository/extract/supersedes.ts` has readability issues that make it harder to maintain.,True
task-69d196f015a150488265afc3,renovatebot/renovate,hard,/app,lib/modules/manager/pep621/artifacts.ts,.ts,"Refactor the pep621 manager module (\`lib/modules/manager/pep621/\`) to move dependency parsing into the Zod schema layer. Currently, `schema.ts` returns raw string arrays for dependency fields, and utility functions in `utils.ts` convert t",True
task-69d196f015a150488265afc4,renovatebot/renovate,medium,/app,lib/modules/manager/circleci/extract.ts,.ts,Refactor the CircleCI manager module to simplify how Docker images are extracted from config files.,True
